Anno_Mese_G048;Amount_TOT_G048;Company_G048;Company_name_G048;c_AmountCluster_G048;ABS_Amount_G048
2019 -  9;-208712,83;CO/G048;Marelli Europe S.p.A.;N;208713
2019 - 10;-897935,54;CO/G048;Marelli Europe S.p.A.;N;897936
2019 - 11;-128118,18;CO/G048;Marelli Europe S.p.A.;N;128118
2019 - 12;-107950,95;CO/G048;Marelli Europe S.p.A.;N;107951
2020 -  1;-616,95;CO/G048;Marelli Europe S.p.A.;N;617
2020 -  2;-118980,01;CO/G048;Marelli Europe S.p.A.;N;118980
2020 -  3;-44031,29;CO/G048;Marelli Europe S.p.A.;N;44031
2017 -  1;133564,18;CO/G048;Marelli Europe S.p.A.;S;133564
2017 -  2;2352742,32;CO/G048;Marelli Europe S.p.A.;S;2352742
2017 -  3;2575843,4;CO/G048;Marelli Europe S.p.A.;S;2575843
2017 -  4;2576409,15;CO/G048;Marelli Europe S.p.A.;S;2576409
2017 -  5;3652702,61;CO/G048;Marelli Europe S.p.A.;S;3652703
2017 -  6;2708671,71;CO/G048;Marelli Europe S.p.A.;S;2708672
2017 -  7;2756229,8;CO/G048;Marelli Europe S.p.A.;S;2756230
2017 -  8;2126785,65;CO/G048;Marelli Europe S.p.A.;S;2126786
2017 -  9;3584775,52;CO/G048;Marelli Europe S.p.A.;S;3584776
2017 - 10;2589991,55;CO/G048;Marelli Europe S.p.A.;S;2589992
2017 - 11;2581340,96;CO/G048;Marelli Europe S.p.A.;S;2581341
2017 - 12;3343301,45;CO/G048;Marelli Europe S.p.A.;S;3343301
2018 -  1;76990,77;CO/G048;Marelli Europe S.p.A.;S;76991
2018 -  2;1818811,54;CO/G048;Marelli Europe S.p.A.;S;1818812
2018 -  3;1976455,23;CO/G048;Marelli Europe S.p.A.;S;1976455
2018 -  4;2593220,44;CO/G048;Marelli Europe S.p.A.;S;2593220
2018 -  5;5896526,61;CO/G048;Marelli Europe S.p.A.;S;5896527
2018 -  6;2095202,05;CO/G048;Marelli Europe S.p.A.;S;2095202
2018 -  7;2584805,78;CO/G048;Marelli Europe S.p.A.;S;2584806
2018 -  8;2232754,31;CO/G048;Marelli Europe S.p.A.;S;2232754
2018 -  9;2326178,7;CO/G048;Marelli Europe S.p.A.;S;2326179
2018 - 10;3337870,97;CO/G048;Marelli Europe S.p.A.;S;3337871
2018 - 11;2871943,28;CO/G048;Marelli Europe S.p.A.;S;2871943
2018 - 12;4162740,35;CO/G048;Marelli Europe S.p.A.;S;4162740
2019 -  1;821878,05;CO/G048;Marelli Europe S.p.A.;S;821878
2019 -  2;448469,12;CO/G048;Marelli Europe S.p.A.;S;448469
2019 -  3;4238293,91;CO/G048;Marelli Europe S.p.A.;S;4238294
2019 -  4;3454641,61;CO/G048;Marelli Europe S.p.A.;S;3454642
2019 -  5;2298578,29;CO/G048;Marelli Europe S.p.A.;S;2298578
2019 -  6;2187766,79;CO/G048;Marelli Europe S.p.A.;S;2187767
2019 -  7;8651189,77;CO/G048;Marelli Europe S.p.A.;S;8651190
2019 -  8;1133666,82;CO/G048;Marelli Europe S.p.A.;S;1133667
2019 -  9;6108327,1;CO/G048;Marelli Europe S.p.A.;S;6108327
2019 - 10;5419103,52;CO/G048;Marelli Europe S.p.A.;S;5419104
2019 - 11;4513215,07;CO/G048;Marelli Europe S.p.A.;S;4513215
2019 - 12;4609606,29;CO/G048;Marelli Europe S.p.A.;S;4609606
2020 -  1;978856,92;CO/G048;Marelli Europe S.p.A.;S;978857
2020 -  2;4473760,64;CO/G048;Marelli Europe S.p.A.;S;4473761
2020 -  3;723301,23;CO/G048;Marelli Europe S.p.A.;S;723301
