Anno_Mese;Amount_TOT;Company;Company_name;c_AmountCluster;ABS_Amount
2020 -  2;-24477,15;CO/G046;Marelli Suspen.Systems;N;24477
2020 -  3;-95;CO/G046;Marelli Suspen.Systems;N;95
2017 -  1;49467,56;CO/G046;Marelli Suspen.Systems;S;49468
2017 -  2;766000,28;CO/G046;Marelli Suspen.Systems;S;766000
2017 -  3;660689,92;CO/G046;Marelli Suspen.Systems;S;660690
2017 -  4;905253,23;CO/G046;Marelli Suspen.Systems;S;905253
2017 -  5;625123,74;CO/G046;Marelli Suspen.Systems;S;625124
2017 -  6;763815,09;CO/G046;Marelli Suspen.Systems;S;763815
2017 -  7;594091,5;CO/G046;Marelli Suspen.Systems;S;594092
2017 -  8;146695,15;CO/G046;Marelli Suspen.Systems;S;146695
2017 -  9;893157,71;CO/G046;Marelli Suspen.Systems;S;893158
2017 - 10;645665,33;CO/G046;Marelli Suspen.Systems;S;645665
2017 - 11;598642,11;CO/G046;Marelli Suspen.Systems;S;598642
2017 - 12;724581,27;CO/G046;Marelli Suspen.Systems;S;724581
2018 -  1;-10882,13;CO/G046;Marelli Suspen.Systems;S;-10882
2018 -  2;601063,56;CO/G046;Marelli Suspen.Systems;S;601064
2018 -  3;629062,42;CO/G046;Marelli Suspen.Systems;S;629062
2018 -  4;763227,59;CO/G046;Marelli Suspen.Systems;S;763228
2018 -  5;501905,03;CO/G046;Marelli Suspen.Systems;S;501905
2018 -  6;768147,01;CO/G046;Marelli Suspen.Systems;S;768147
2018 -  7;590266,84;CO/G046;Marelli Suspen.Systems;S;590267
2018 -  8;520897,47;CO/G046;Marelli Suspen.Systems;S;520897
2018 -  9;592239,2;CO/G046;Marelli Suspen.Systems;S;592239
2018 - 10;643156,18;CO/G046;Marelli Suspen.Systems;S;643156
2018 - 11;442232,08;CO/G046;Marelli Suspen.Systems;S;442232
2018 - 12;664397,74;CO/G046;Marelli Suspen.Systems;S;664398
2019 -  1;434,84;CO/G046;Marelli Suspen.Systems;S;435
2019 -  2;347582,53;CO/G046;Marelli Suspen.Systems;S;347583
2019 -  3;1187487,23;CO/G046;Marelli Suspen.Systems;S;1187487
2019 -  4;658135,55;CO/G046;Marelli Suspen.Systems;S;658136
2019 -  5;182620,67;CO/G046;Marelli Suspen.Systems;S;182621
2019 -  6;989783,29;CO/G046;Marelli Suspen.Systems;S;989783
2019 -  7;1184051,12;CO/G046;Marelli Suspen.Systems;S;1184051
2019 -  8;728160,58;CO/G046;Marelli Suspen.Systems;S;728161
2019 -  9;1073607,13;CO/G046;Marelli Suspen.Systems;S;1073607
2019 - 10;53789,66;CO/G046;Marelli Suspen.Systems;S;53790
2019 - 11;2169476,58;CO/G046;Marelli Suspen.Systems;S;2169477
2019 - 12;1291087,54;CO/G046;Marelli Suspen.Systems;S;1291088
2020 -  1;857,54;CO/G046;Marelli Suspen.Systems;S;858
2020 -  2;1275242,64;CO/G046;Marelli Suspen.Systems;S;1275243
2020 -  3;18879,5;CO/G046;Marelli Suspen.Systems;S;18880
